URL,Green Hosting,Bytes,Cleaner Than %,Stats_Adjusted Bytes,Stats_Energy,Stats_CO2_Grid_Grams,Stats_CO2_Grid_Litres,Stats_CO2_Renewable_Grams,Stats_CO2_Renewable_Litres
True,489715,0.9,369734.825,0.0002789173352066,0.1232814621613361,0.0685691492541351,0.1068811228511855,0.0594472805298293,1651685391
True,5554427,0.2,4193592.385,0.0031635256780777,1.398278349710349,0.777722418108896,1.2122630398393797,0.6742607027586628,1651684832
unknown,3101165,0.32,2341379.575,0.0017662695196922,0.7806911277039909,0.4342204052289596,0.6768344799460845,0.3764553377460121,1651685171
unknown,1639800,0.57,1238049.0,0.0009339486155658,0.412805288080126,0.229602301230166,0.3578891094848514,0.1990579226954743,1651685088
True,828951,0.82,625858.005,0.0004721293077338,0.2086811540183611,0.1160684578650124,0.1809199507236108,0.1006276765924723,1651685632
True,170825,0.96,128972.875,9.729343350045384e-05,0.0430036976072005,0.0239186566091249,0.0372828437173739,0.0207367176756033,1651685045
True,3113019,0.37,2350329.345,0.0017730209691915,0.7836752683826723,0.4358801842744422,0.6794216353942082,0.3778943136062585,1651678696
unknown,2555385,0.39,1929315.675,0.0014554203457664,0.6432957928287797,0.3578011199713672,0.5577170764977114,0.310202237948027,1651685073
True,7204701,0.14,5439549.255,0.0041034397637005,1.8137203755556608,1.0087912728840582,1.572438117450066,0.8745900809257267,1651684886
unknown,2077573,0.46,1568567.615,0.0011832823680248,0.5230108066669665,0.2908986106681667,0.4534338034271078,0.2521998814661573,1651684821
unknown,381122,0.91,287747.11,0.0002170681572519,0.0959441255053505,0.0533641226060759,0.0831805178589373,0.0462650040331409,1651684822
True,890824,0.8,672572.12,0.0005073690947145,0.2242571398638189,0.124731821192256,0.194423837094605,0.1081385381920192,1651685007
True,1186988,0.72,896175.94,0.0006760493958368,0.2988138329599052,0.1662002538922992,0.2590621284846961,0.1440903558631879,1651685688
unknown,6651435,0.14,5021833.425,0.0037883269360754,1.674440505745355,0.9313238092955664,1.451686881904118,0.8074282437150703,1651685049
unknown,3101719,0.32,2341797.845,0.0017665850505698,0.7808305923518726,0.4342979754661114,0.6769553913783657,0.3765225886846469,1651685307
unknown,4636530,0.21,3500580.15,0.0026407371475361,1.1672058192109689,0.6491998766451408,1.0119304749358446,0.5628357301593166,1651685299
unknown,1239336,0.66,935698.68,0.0007058642160147,0.3119919834785163,0.1735299412107507,0.2704871675768495,0.1504449626062436,1651684898
unknown,3483893,0.28,2630339.215,0.0019842523747589,0.8770395496434533,0.4878093975116886,0.7603655100076274,0.4229152966662423,1651679125
